epoch,entropic_risk,avg_return,sharpe
1,1.8893415927886963,1.943239688873291,0.4602787569507111
2,2.086426258087158,1.7663676738739014,0.4397543930758936
3,2.0371768474578857,1.9983941316604614,0.4733089917963034
4,4.526370048522949,1.16425621509552,0.27910094605474917
5,2.5564491748809814,1.653936743736267,0.3719158076376286
6,3.617739677429199,1.5519887208938599,0.40812540625983235
7,2.949280023574829,1.857067346572876,0.419877607105569
8,1.9847161769866943,1.5802736282348633,0.35373021666844806
9,3.27937912940979,1.9006586074829102,0.43185160216345797
10,2.027426242828369,2.2977256774902344,0.48262770325555093
11,2.193082809448242,1.673614263534546,0.4268175914905787
12,3.189591407775879,2.049006938934326,0.5052872499219045
13,3.391068935394287,1.4023033380508423,0.3070656794892859
14,2.3662211894989014,2.1158618927001953,0.5073270150021278
15,2.205979585647583,2.1863584518432617,0.5120750328747614
16,7.386489391326904,1.7810169458389282,0.4378149478180722
17,1.8478798866271973,1.7329492568969727,0.4415235698401255
18,7.6641716957092285,1.787948727607727,0.374637087045296
19,4.433310031890869,2.0669472217559814,0.47720924402800136
20,2.8848891258239746,1.6375597715377808,0.3894889981055062
21,3.8884189128875732,1.8087728023529053,0.3890170982818551
22,2.079552412033081,2.1820380687713623,0.5407172185909458
23,3.663778305053711,1.9958837032318115,0.4591829358321277
24,2.9875452518463135,1.954342246055603,0.4412076199076437
25,3.5971055030822754,1.8773759603500366,0.46536036465350183
26,15.87477970123291,1.4449282884597778,0.32522444850324594
27,3.0563526153564453,1.7835601568222046,0.42713162218373124
28,1.5398412942886353,2.143656015396118,0.5463828457077061
29,6.8222222328186035,2.1829538345336914,0.5221612968995049
30,3.386399507522583,2.1764235496520996,0.4419939736870294
31,1.844758152961731,2.3566157817840576,0.4853410190728148
32,3.1777749061584473,1.6649107933044434,0.3981627743506876
33,3.451848030090332,1.4814013242721558,0.340984610408719
34,1.9851410388946533,1.7614654302597046,0.4431311560533001
35,3.392399311065674,2.018277645111084,0.4116149604033502
36,4.346002101898193,1.2724374532699585,0.2991317085309991
37,8.556224822998047,1.6011672019958496,0.35917210094877944
38,5.943165302276611,1.6782684326171875,0.3631867535483951
39,2.357841968536377,1.4204975366592407,0.3110637048476165
40,4.155773162841797,1.9135463237762451,0.3980173004881713
41,1.5128852128982544,1.7579929828643799,0.42829621047393845
42,2.216858148574829,1.7599390745162964,0.3901178517587401
43,1.514685034751892,1.7634952068328857,0.4454708776622277
44,2.302537202835083,1.2542243003845215,0.328163043948628
45,8.462666511535645,1.5707958936691284,0.3663488766828608
46,2.901364326477051,1.774370551109314,0.40336678475751603
47,2.5493385791778564,1.643102765083313,0.35437515144120246
48,1.6696594953536987,1.5720462799072266,0.3831051281793917
49,1.7760030031204224,2.1966335773468018,0.5700977734226789
50,2.6705148220062256,1.334702968597412,0.27465734193569835
51,2.5697247982025146,1.6268059015274048,0.42440857275247584
52,2.0469257831573486,2.257251501083374,0.4616082463379501
53,2.6740405559539795,1.3771986961364746,0.30060658414030794
54,1.1868112087249756,1.7237483263015747,0.45882311344977306
55,1.6366413831710815,1.8799834251403809,0.4236328344204507
56,1.8047949075698853,1.5123552083969116,0.41111225354235537
57,1.8890399932861328,2.039194345474243,0.4372334633017415
58,3.935948610305786,1.8294004201889038,0.3921753985458077
59,2.380603075027466,1.7137842178344727,0.4316975480830226
60,3.5797643661499023,1.7305808067321777,0.4063772931885867
61,4.102240562438965,1.6740403175354004,0.3660932751057118
62,3.0565195083618164,1.6124731302261353,0.3388984484490696
63,5.054853439331055,1.1662192344665527,0.2469087176984954
64,2.5275895595550537,1.8043262958526611,0.4286457797459792
65,4.754696846008301,1.529412865638733,0.36916718323779263
66,2.7735936641693115,1.8884328603744507,0.4041051966879304
67,2.921280860900879,1.569152593612671,0.374004836421224
68,2.047257423400879,1.949225664138794,0.4819139427829112
69,3.8885934352874756,1.7635092735290527,0.3700613618080325
70,6.739552021026611,1.8155380487442017,0.42268324540454744
71,2.860658645629883,1.52872633934021,0.36828725515761324
72,2.4459805488586426,2.0966262817382812,0.44617002152268964
73,2.7427501678466797,1.9306292533874512,0.42846564823204153
74,2.527801275253296,1.4168510437011719,0.34234666366419736
75,2.2286040782928467,2.1367743015289307,0.45555105671076035
76,3.299123764038086,1.764499306678772,0.3817581378682476
77,2.2156105041503906,2.088880777359009,0.5004393554212307
78,2.6070313453674316,1.7437384128570557,0.417477015634006
79,2.4156694412231445,1.88436758518219,0.43295725704995075
80,14.52017593383789,2.04746675491333,0.42660564862567657
81,5.743128299713135,1.4950764179229736,0.358504246155678
82,2.162789821624756,1.7755913734436035,0.43457373053663056
83,2.979159116744995,1.8290070295333862,0.45408282562487856
84,3.5268359184265137,1.4446974992752075,0.3443232935816276
85,2.36037540435791,1.7584458589553833,0.39689963260146643
86,4.085986614227295,2.4943010807037354,0.5822388874766022
87,2.9994423389434814,1.8337700366973877,0.4133748559045122
88,2.617295503616333,1.6284632682800293,0.40479204959518783
89,1.4498107433319092,2.314291000366211,0.5314041650527539
90,12.690232276916504,2.052140712738037,0.4675190735544504
