epoch,avg_return,sharpe
1,1.7196826934814453,0.724883780324073
2,1.8762412071228027,0.7945086921332531
3,1.876082420349121,0.6481283856386827
4,1.516589879989624,0.6659741009867498
5,1.7032185792922974,0.7677179286085203
6,2.0184781551361084,0.7632823422440331
7,2.2788500785827637,0.8605341187080058
8,2.160327672958374,0.5615979686963415
9,1.9605952501296997,0.7047137703835048
10,1.7916840314865112,0.723572130114639
11,1.8388091325759888,0.7237925718557813
12,1.614098072052002,0.7373973698697307
13,1.7871923446655273,0.7507430253580694
14,1.8119138479232788,0.7497055785451412
15,1.6262918710708618,0.6698865307306611
16,1.9075454473495483,0.7263382917936566
17,1.9599255323410034,0.7574728617823792
18,2.0295474529266357,0.8252211403566254
19,1.879687786102295,0.7636723198923787
20,1.8396550416946411,0.7152553533106729
21,1.8192017078399658,0.6339717547806828
22,1.9722541570663452,0.7397094333964499
23,1.739159345626831,0.7325717046155903
24,1.7339327335357666,0.6907915468535283
25,2.0552403926849365,0.7856181669956626
26,1.9729280471801758,0.7355077988282595
27,1.6857988834381104,0.6819592165650178
28,1.8531116247177124,0.6402702626256891
29,2.132291555404663,0.7423102806057527
30,1.8137798309326172,0.650998687629756
