epoch,avg_return,sharpe
1,1.9556150436401367,0.6239039466468211
2,1.7939239740371704,0.5945253172558826
3,2.0220084190368652,0.6926728430617494
4,1.792785882949829,0.7262756343017208
5,1.4600672721862793,0.6866194758388086
6,1.8094983100891113,0.7013461656111317
7,1.7326017618179321,0.7976941661157878
8,1.6699875593185425,0.643156563170324
9,1.7122656106948853,0.6026808414684427
10,1.5057902336120605,0.6649011716163636
11,1.6784334182739258,0.6433984518843462
12,1.5087298154830933,0.6736072700805577
13,1.7835068702697754,0.7356433103103257
14,1.4193977117538452,0.6604388646932571
15,1.600380301475525,0.6826487221205378
16,1.9398882389068604,0.6309122993438017
17,1.5719538927078247,0.6478571393448632
18,1.720096468925476,0.7199706237801865
19,1.796231985092163,0.7128203489044678
20,1.5208098888397217,0.6645640522215324
