epoch,avg_return,entropic,sharpe,markowitz
1,3.269469738006592,15.307938575744629,0.38100752234458923,110.01599884033203
2,3.1889209747314453,13.63432502746582,0.41276031732559204,88.6397476196289
3,2.720935821533203,8.790371894836426,0.3104645013809204,115.44691467285156
4,3.659283399581909,22.162696838378906,0.4262493848800659,109.72457122802734
5,3.3549623489379883,7.184785842895508,0.4005332291126251,104.58562469482422
6,2.4078125953674316,8.07630443572998,0.313784658908844,88.17976379394531
7,2.5901670455932617,20.24469757080078,0.31569457054138184,100.9736328125
8,2.66328763961792,11.857035636901855,0.3260980248451233,99.95540618896484
9,2.6626014709472656,9.60530948638916,0.3296854496002197,97.68324279785156
10,2.229870319366455,11.404059410095215,0.2716481685638428,101.4351577758789
11,2.533663272857666,7.862332344055176,0.3051399886608124,103.53478240966797
12,2.4258320331573486,20.07515525817871,0.26161086559295654,129.85488891601562
13,4.024787902832031,7.035778522491455,0.42936334013938904,131.15841674804688
14,3.5072407722473145,7.383739948272705,0.40097418427467346,114.195068359375
15,2.7504284381866455,12.292558670043945,0.33438387513160706,101.33663177490234
16,1.7637724876403809,10.481063842773438,0.22772035002708435,90.52908325195312
17,2.693971872329712,23.667436599731445,0.30157458782196045,120.0735092163086
18,2.8478710651397705,6.831461429595947,0.34245720505714417,103.5455322265625
19,2.173090934753418,13.815960884094238,0.26742202043533325,99.4162368774414
