episode,avg_return,sharpe,epsilon,loss
1,13.050077,1305007700.0,0.009998671593271896,0.0
2,12.270185,15.733195,0.009998671593271896,0.0
3,13.875983,5.883322,0.009998671593271896,0.0
4,9.972882,1.4121507,0.009998671593271896,0.0
5,8.659508,1.2658222,0.009998671593271896,0.0
6,6.6979885,0.87769496,0.009998671593271896,0.0
7,5.3437567,0.6846392,0.009998671593271896,0.0
8,5.587314,0.7623057,0.009998671593271896,0.0
9,4.843249,0.6704688,0.009998671593271896,0.0
10,4.5811205,0.66412765,0.009998671593271896,0.0
11,9.173097,0.57543695,0.009998671593271896,0.0
12,9.252704,0.6061495,0.009998671593271896,0.0
13,7.598287,0.482557,0.009998671593271896,0.0
14,6.864125,0.4456563,0.009998671593271896,0.0
15,6.5896015,0.44179764,0.009998671593271896,0.0
16,6.1103725,0.41965163,0.009998671593271896,0.0
17,5.651394,0.39673808,0.009998671593271896,0.0
18,5.776451,0.41698474,0.009998671593271896,0.0
19,5.131656,0.37299037,0.009998671593271896,0.0
20,5.695614,0.4177741,0.009998671593271896,0.0
21,5.3755274,0.40171444,0.009998671593271896,0.0
22,5.5358825,0.42276597,0.009998671593271896,0.0
23,4.5422187,0.33329234,0.009998671593271896,0.0
24,4.876058,0.36288,0.009998671593271896,0.0
25,5.088834,0.38531846,0.009998671593271896,0.0
26,5.031856,0.38845563,0.009998671593271896,0.0
27,4.960781,0.3901054,0.009998671593271896,0.0
28,4.75103,0.37902597,0.009998671593271896,0.0
29,4.8493147,0.39336404,0.009998671593271896,0.0
30,4.7989535,0.39583468,0.009998671593271896,0.0
31,4.585889,0.38268527,0.009998671593271896,0.0
32,4.7639155,0.4024837,0.009998671593271896,0.0
33,4.7312875,0.40587384,0.009998671593271896,0.0
34,4.3772364,0.37530833,0.009998671593271896,0.0
35,4.417895,0.38424283,0.009998671593271896,4.957969127488988e-05
36,4.2619176,0.37469578,0.009998671593271896,0.00010591118117897876
37,4.6831436,0.4072044,0.009998671593271896,0.00016817048978614243
38,4.5202756,0.39680973,0.009998671593271896,0.0002258460091941647
39,4.5236235,0.402294,0.009998671593271896,0.0002678497955569994
40,4.8597016,0.4300716,0.009998671593271896,0.0003157369798279414
41,4.8072314,0.43052286,0.009998671593271896,0.00034779786677413684
42,4.8963704,0.44322857,0.009998671593271896,0.00038172438232966094
43,5.1886063,0.46824795,0.009998671593271896,0.00040828004308769174
44,4.979099,0.45100263,0.009998671593271896,0.0004312979492355864
45,5.1091514,0.46655756,0.009998671593271896,0.00045452334531312106
46,4.867977,0.44451457,0.009998671593271896,0.0004813170733543816
47,4.737532,0.43582934,0.009998671593271896,0.000508094277111951
48,4.6126666,0.42748117,0.009998671593271896,0.0005286327499316162
49,4.418337,0.41046602,0.009998671593271896,0.000549936292942428
50,4.2905207,0.40122673,0.009998671593271896,0.0005642521483730012
51,4.198463,0.39577746,0.009998671593271896,0.0005789994972080957
52,4.1189356,0.39149716,0.009998671593271896,0.000593862322646578
53,4.0920596,0.3925968,0.009998671593271896,0.0006081443216848044
54,4.577264,0.41941082,0.009998671593271896,0.0006227044406226542
55,4.762071,0.43693417,0.009998671593271896,0.0006365975452676195
56,4.633206,0.42728835,0.009998671593271896,0.0006542934428847108
57,4.4373217,0.4090737,0.009998671593271896,0.0006661673198744765
58,4.3021255,0.39828378,0.009998671593271896,0.0006756399815034926
59,4.215034,0.392818,0.009998671593271896,0.0006847763852876876
60,4.3024063,0.40354237,0.009998671593271896,0.000692169029989566
61,4.0301323,0.3737791,0.009998671593271896,0.0007022856079200502
62,3.9743133,0.37130275,0.009998671593271896,0.0007084003795137911
63,4.0551248,0.3812118,0.009998671593271896,0.0007117819242859952
64,4.1744366,0.3939475,0.009998671593271896,0.0007201901557404736
65,4.0204186,0.3797667,0.009998671593271896,0.000723211391349177
66,3.9248726,0.37258226,0.009998671593271896,0.0007241317793244533
67,3.8688924,0.36969045,0.009998671593271896,0.0007304450991549153
68,3.9892435,0.38230947,0.009998671593271896,0.0007355141928187435
69,4.0420794,0.38986626,0.009998671593271896,0.0007412269489876342
70,4.1021914,0.39805296,0.009998671593271896,0.0007453271454122777
71,4.0235953,0.3923959,0.009998671593271896,0.0007493231299910394
72,3.9470809,0.38686058,0.009998671593271896,0.0007554919745397922
73,3.8454874,0.37814555,0.009998671593271896,0.0007590422597244879
74,3.9049113,0.38612258,0.009998671593271896,0.0007635112544283315
75,4.0319443,0.39901456,0.009998671593271896,0.0007667657781176667
76,3.8696132,0.38176847,0.009998671593271896,0.0007701870329317985
77,3.9860563,0.39383924,0.009998671593271896,0.0007726474641675282
78,3.857499,0.38121292,0.009998671593271896,0.0007743392685283921
79,3.7640119,0.37309524,0.009998671593271896,0.0007778285532878602
80,3.7024715,0.36876225,0.009998671593271896,0.0007794896685775351
81,3.5802672,0.356679,0.009998671593271896,0.0007825856967273383
